,0
0,0.0930449091396379
1,0.5389789304995908
2,0.6253031338368676
3,0.024727676890109556
4,0.15269335248351906
5,0.5868918238636742
6,0.19725665104379314
7,0.14336342197901367
8,0.019198767984871093
9,0.04983725157475969
10,0.4787945403233093
11,0.8987151935315603
12,0.04967835871140881
13,0.9314199821818464
14,0.9041649840532358
15,0.8090410253719961
16,0.1090597050999489
17,0.7895157600713255
18,0.055975542422573514
19,0.7925296773860089
20,0.8795943044706489
21,0.3090240045714987
22,0.1891378467168785
23,0.20965228395576932
24,0.8700584173609619
25,0.387410176941924
26,0.18797153846585266
27,0.40981769811862073
28,0.9253790480722869
29,0.6542551108109815
30,0.5959325293532747
